MkMagnettoSettings {rangeAcc = RA2, rangeGyro = RG125, cycleMag = CM200, frequencyAccAndGyro = FAG25, frequencyMag = FM600}
MkPortName {portName = "/dev/ttyUSB0"}
System Coordinate = Base (how as PNI)

Time         TimeStep MagX   MagY    MagZ   AccX   AccY   AccZ  GyroX  GyroY  GyroZ     Temp       Pitch   Roll  Azimuth
   0.1     0.0400490000    6.4530000000  -10.6260000000   37.4000000000    0.0303950000   -0.0313720000    1.0036620000    0.1830000000    0.0530000000    0.0760000000      29.9         -1.7337746816   -1.7903419053   60.6788571313 
   0.2     0.0400500000    6.5060000000  -10.5860000000   37.6130000000    0.0306390000   -0.0312500000    1.0035400000    0.1670000000    0.0610000000    0.0680000000      29.9         -1.7479029422   -1.7836007615   60.3977715584 
   0.2     0.0400500000    6.4800000000  -10.6000000000   37.5460000000    0.0303950000   -0.0317380000    1.0035400000    0.1830000000    0.0450000000    0.0530000000      29.9         -1.7339652685   -1.8114350573   60.4601018186 
   0.2     0.0400500000    6.4930000000  -10.6400000000   37.4000000000    0.0299070000   -0.0311270000    1.0035400000    0.1450000000    0.0450000000    0.0610000000      29.9         -1.7061750577   -1.7765850166   60.4708511761 
   0.3     0.0400500000    6.4130000000  -10.6530000000   37.3600000000    0.0308830000   -0.0312500000    1.0040280000    0.1750000000    0.0530000000    0.0910000000      30.1         -1.7609590416   -1.7827344157   61.0261920162 
   0.3     0.0400500000    6.4930000000  -10.5860000000   37.6130000000    0.0302730000   -0.0310050000    1.0032950000    0.1520000000    0.0610000000    0.0680000000      29.7         -1.7274701220   -1.7700581174   60.4181514080 
   0.4     0.0400500000    6.4930000000  -10.6130000000   37.4660000000    0.0314940000   -0.0310050000    1.0036620000    0.1450000000    0.0530000000    0.0830000000      29.9         -1.7964432481   -1.7694112878   60.6913471467 
   0.4     0.0400500000    6.4660000000  -10.6260000000   37.3860000000    0.0296630000   -0.0316160000    1.0032950000    0.1600000000    0.0530000000    0.0610000000      29.8         -1.6926499916   -1.8049169164   60.4686290211 
   0.4     0.0400500000    6.5460000000  -10.5730000000   37.5600000000    0.0302730000   -0.0310050000    1.0034170000    0.1450000000    0.0680000000    0.0530000000      30.1         -1.7272604158   -1.7698430426   60.1375523419 
   0.5     0.0400490000    6.5200000000  -10.5860000000   37.5730000000    0.0306390000   -0.0313720000    1.0029290000    0.1670000000    0.0380000000    0.0680000000      29.9         -1.7489594675   -1.7916495409   60.3205270902 
   0.5     0.0400500000    6.4930000000  -10.6400000000   37.4000000000    0.0299070000   -0.0314940000    1.0028070000    0.1670000000    0.0450000000    0.1060000000      30.1         -1.7074007666   -1.7988310452   60.4370509545 
   0.6     0.0400490000    6.4130000000  -10.6800000000   37.3460000000    0.0302730000   -0.0313720000    1.0034170000    0.1600000000    0.0530000000    0.0680000000      30.0         -1.7272408106   -1.7907787608   60.9783629585 
   0.6     0.0400500000    6.5200000000  -10.5860000000   37.6000000000    0.0312500000   -0.0312500000    1.0032950000    0.1900000000    0.0380000000    0.0830000000      29.9         -1.7831718157   -1.7840360271   60.4398037508 
   0.6     0.0400500000    6.5060000000  -10.6130000000   37.5200000000    0.0295410000   -0.0317380000    1.0031730000    0.1600000000    0.0380000000    0.0680000000      30.1         -1.6858905891   -1.8120973094   60.2255432452 
   0.7     0.0400500000    6.4660000000  -10.6400000000   37.3730000000    0.0308830000   -0.0314940000    1.0032950000    0.1900000000    0.0300000000    0.0990000000      30.1         -1.7622301493   -1.7979566730   60.7275242016 
   0.7     0.0400500000    6.3860000000  -10.6660000000   37.3200000000    0.0306390000   -0.0307610000    1.0030510000    0.1830000000    0.0530000000    0.0760000000      29.9         -1.7487800240   -1.7565639774   61.1877228213 
   0.8     0.0400490000    6.4800000000  -10.5860000000   37.5730000000    0.0306390000   -0.0308830000    1.0034170000    0.1670000000    0.0530000000    0.0530000000      30.1         -1.7481366261   -1.7628833801   60.5510828209 
   0.8     0.0400500000    6.4930000000  -10.6260000000   37.4530000000    0.0302730000   -0.0308830000    1.0032950000    0.1830000000    0.0380000000    0.0760000000      29.9         -1.7274765906   -1.7630976102   60.5248535344 
   0.8     0.0400490000    6.4400000000  -10.6400000000   37.3730000000    0.0303950000   -0.0310050000    1.0029290000    0.1520000000    0.0680000000    0.0760000000      29.9         -1.7350595280   -1.7707036556   60.8101027114 
   0.9     0.0400500000    6.5200000000  -10.5600000000   37.5600000000    0.0307610000   -0.0316160000    1.0035400000    0.1900000000    0.0760000000    0.0910000000      29.9         -1.7548384777   -1.8044765630   60.2473758094 
   0.9     0.0400490000    6.5060000000  -10.5860000000   37.5730000000    0.0305170000   -0.0311270000    1.0028070000    0.1830000000    0.0610000000    0.0830000000      29.9         -1.7422245016   -1.7778827752   60.3878110087 
   1.0     0.0400500000    6.4660000000  -10.6530000000   37.3860000000    0.0306390000   -0.0321040000    1.0034170000    0.1520000000    0.0680000000    0.0760000000      30.1         -1.7480699694   -1.8325346721   60.6607970271 
   1.0     0.0400500000    6.4130000000  -10.6660000000   37.3060000000    0.0305170000   -0.0314940000    1.0035400000    0.1520000000    0.0530000000    0.0530000000      30.1         -1.7409341293   -1.7975180155   60.9706271852 
   1.0     0.0400500000    6.5060000000  -10.5860000000   37.5460000000    0.0299070000   -0.0318600000    1.0031730000    0.1520000000    0.0220000000    0.0760000000      29.9         -1.7067591844   -1.8190582908   60.2075529483 
   1.1     0.0400500000    6.5200000000  -10.6400000000   37.4130000000    0.0302730000   -0.0311270000    1.0026850000    0.1520000000    0.0610000000    0.0760000000      30.1         -1.7285129107   -1.7780989572   60.4131516478 
   1.1     0.0400500000    6.4800000000  -10.6530000000   37.2930000000    0.0299070000   -0.0327140000    1.0031730000    0.1830000000    0.0380000000    0.0760000000      29.9         -1.7067124976   -1.8677836449   60.4062833372 
   1.2     0.0400500000    6.5330000000  -10.6000000000   37.4400000000    0.0312500000   -0.0313720000    1.0028070000    0.1670000000    0.0450000000    0.0830000000      29.9         -1.7840314002   -1.7918673682   60.3960659656 
   1.2     0.0400490000    6.5060000000  -10.6400000000   37.4530000000    0.0297850000   -0.0307610000    1.0031730000    0.1670000000    0.0450000000    0.1060000000      29.9         -1.6998589046   -1.7563504883   60.4293734952 
   1.2     0.0400500000    6.5060000000  -10.6400000000   37.3200000000    0.0302730000   -0.0321040000    1.0028070000    0.1830000000    0.0450000000    0.0760000000      29.9         -1.7282499520   -1.8336486285   60.3774256481 
   1.3     0.0400500000    6.4530000000  -10.6800000000   37.2130000000    0.0308830000   -0.0311270000    1.0030510000    0.1600000000    0.0450000000    0.0990000000      29.9         -1.7626782327   -1.7774505688   60.9158851659 
   1.3     0.0400500000    6.5200000000  -10.6000000000   37.4530000000    0.0291740000   -0.0311270000    1.0034170000    0.1600000000    0.0300000000    0.0910000000      30.1         -1.6645854075   -1.7768026529   60.1196527411 
   1.4     0.0400500000    6.5200000000  -10.6260000000   37.4130000000    0.0305170000   -0.0312500000    1.0028070000    0.1600000000    0.0450000000    0.0760000000      30.1         -1.7422178660   -1.7849036383   60.4067316070 
   1.4     0.0400500000    6.4930000000  -10.6400000000   37.2530000000    0.0302730000   -0.0314940000    1.0030510000    0.1670000000    0.0530000000    0.0610000000      29.9         -1.7278634851   -1.7983937528   60.4914896916 
   1.4     0.0400500000    6.5460000000  -10.5860000000   37.3460000000    0.0305170000   -0.0312500000    1.0034170000    0.1670000000    0.0450000000    0.0680000000      29.8         -1.7411604102   -1.7838192560   60.1778074405 
   1.5     0.0400490000    6.5330000000  -10.6260000000   37.4660000000    0.0300290000   -0.0312500000    1.0028070000    0.1520000000    0.0450000000    0.0760000000      29.8         -1.7143746692   -1.7849036383   60.2659373293 
   1.5     0.0400500000    6.4930000000  -10.6400000000   37.3060000000    0.0302730000   -0.0316160000    1.0032950000    0.1670000000    0.0610000000    0.0910000000      29.9         -1.7274373431   -1.8049169164   60.4822379467 
   1.6     0.0400490000    6.4530000000  -10.6660000000   37.2260000000    0.0300290000   -0.0316160000    1.0031730000    0.1750000000    0.0610000000    0.0530000000      30.1         -1.7137306116   -1.8051362746   60.6867449944 
   1.6     0.0400500000    6.5330000000  -10.6130000000   37.3860000000    0.0303950000   -0.0317380000    1.0034170000    0.1670000000    0.0450000000    0.0760000000      29.9         -1.7341774779   -1.8116569571   60.2419595206 
   1.6     0.0400500000    6.5200000000  -10.6260000000   37.4130000000    0.0295410000   -0.0318600000    1.0034170000    0.1670000000    0.0220000000    0.0760000000      29.9         -1.6854747946   -1.8186162492   60.1777094489 
   1.7     0.0400500000    6.4800000000  -10.6660000000   37.2660000000    0.0297850000   -0.0321040000    1.0030510000    0.1670000000    0.0610000000    0.0760000000      29.9         -1.6999941240   -1.8332028835   60.4766801787 
   1.7     0.0400500000    6.6000000000  -10.5730000000   37.3200000000    0.0305170000   -0.0306390000    1.0032950000    0.1290000000    0.0300000000    0.0610000000      30.1         -1.7414044562   -1.7491764398   59.9554169567 
   1.8     0.0400500000    6.5330000000  -10.6130000000   37.4400000000    0.0303950000   -0.0312500000    1.0030510000    0.0990000000    0.0300000000    0.0990000000      29.9         -1.7348356956   -1.7844697273   60.2932070480 
   1.8     0.0400500000    6.5060000000  -10.6530000000   37.3330000000    0.0305170000   -0.0310050000    1.0030510000    0.0760000000   -0.0070000000    0.0530000000      30.1         -1.7418079116   -1.7704884239   60.5592056388 
   1.8     0.0400490000    6.5060000000  -10.6800000000   37.2130000000    0.0300290000   -0.0316160000    1.0031730000    0.0610000000   -0.0150000000    0.0760000000      30.1         -1.7137306116   -1.8051362746   60.4796578898 
   1.9     0.0400500000    6.5600000000  -10.6000000000   37.3330000000    0.0303950000   -0.0317380000    1.0028070000    0.0610000000   -0.0300000000    0.0910000000      29.8         -1.7352306657   -1.8127582394   60.0826457304 
   1.9     0.0400500000    6.5200000000  -10.6400000000   37.4130000000    0.0303950000   -0.0319820000    1.0023190000    0.0910000000    0.0070000000    0.0990000000      30.1         -1.7360607250   -1.8275739764   60.3523503567 
   2.0     0.0400500000    6.5060000000  -10.6530000000   37.2800000000    0.0302730000   -0.0317380000    1.0031730000    0.1060000000    0.0220000000    0.0610000000      30.0         -1.7276404644   -1.8120973094   60.4435667133 
   2.0     0.0400500000    6.5860000000  -10.6000000000   37.2400000000    0.0306390000   -0.0310050000    1.0026850000    0.1450000000    0.0380000000    0.0680000000      29.8         -1.7494042757   -1.7711342759   60.0722338983 
   2.0     0.0400500000    6.5330000000  -10.6130000000   37.3730000000    0.0301510000   -0.0314940000    1.0018310000    0.1980000000    0.0530000000    0.0760000000      29.9         -1.7229967389   -1.8005823425   60.2262248760 
   2.1     0.0400500000    6.5060000000  -10.6530000000   37.3460000000    0.0306390000   -0.0314940000    1.0032950000    0.1830000000    0.0910000000    0.0760000000      29.9         -1.7483158197   -1.7979566730   60.5336000966 
   2.1     0.0400490000    6.5060000000  -10.6660000000   37.1730000000    0.0306390000   -0.0319820000    1.0030510000    0.1600000000    0.0380000000    0.0910000000      29.9         -1.7487135523   -1.8262411648   60.5111120867 
