Time         PitchSensor   RollSensor  AzimuthSensor   PitchKalman   RollKalman  AzimuthKalman   PitchIIR  RollIIR  AzimuthIIR   PitchCFR  RollCF  AzimuthCF PitchCFR2  RollCF2  AzimuthCF2
   0.3    88.4216163872   -38.0716309019    30.6875598543     88.4216163872   -38.0716309019    30.6875598543     88.4216163872   -38.0716309019    30.6875598543     88.4216163872   -38.0716309019    30.6875598543     88.4216163872   -38.0716309019    30.6875598543
   0.5    88.4545085864   -38.4171988160    30.1376141973     88.4457455132   -38.3924478912    30.1873237948     88.4518457877   -38.3886544630    30.1827015809     88.4232752531   -38.0887478850    30.5432541487     88.4397138495   -38.2616167961    30.3353737397
   0.6    88.3934104456   -37.9614778755    30.9613938104     88.3715118673   -38.1578656418    30.7640713401     88.3981474148   -37.9949227361    30.8993218664     88.4207568106   -38.0821241020    30.7733031374     88.4137617331   -38.0964156211    30.7682226357
   0.6    88.4135024961   -37.8744420536    30.5945321365     88.3454760011   -38.0314078585    30.5581249670     88.4122593923   -37.8842845738    30.6190221401     88.4201085943   -38.0724453385    30.4069809246     88.4134838326   -37.9746642371    30.5208161405
   0.6    88.4228721634   -37.8301161744    30.7822064662     88.3369397685   -37.9498298860    30.7689429891     88.4220124084   -37.8345318158    30.7689568426     88.4208518441   -38.0598895564    30.5302705541     88.4189336764   -37.8949542019    30.7089587978
   0.7    88.4096137415   -38.0721354492    30.5311221819     88.3255738924   -38.0262609466    30.7011574772     88.4106186047   -38.0530358852    30.5502406573     88.4205435191   -38.0605110258    30.5280626729     88.4139278492   -37.9924078848    30.6101767950
   0.7    88.4103818084   -38.4239941174    30.1996528224     88.3203888799   -38.2361405887    30.5252218554     88.4104034714   -38.3939450965    30.2280571908     88.4194888170   -38.0788158040    30.5512954015     88.4117186667   -38.2298425305    30.4012892118
   0.8    88.4289290728   -37.9856300760    30.6043996516     88.3281844502   -38.1326897932    30.5951199196     88.4274316313   -38.0190584055    30.5735628370     88.4198628602   -38.0746310529    30.5251605161     88.4211374044   -38.0957503617    30.5008034532
   0.8    88.3973839813   -37.4166843664    30.9519414059     88.3157413805   -37.8035553620    30.6818552214     88.3998239908   -37.4646277862    30.9221527469     88.4186629050   -38.0425946896    30.2781741015     88.4080368649   -37.7226718819    30.6348304277
   0.8    88.4266629654   -38.8961189404    29.5230447379     88.3260292702   -38.3486916457    30.2373373883     88.4245256294   -38.7783361775    29.6381954304     88.4196677536   -38.0848312579    30.3852016047     88.4185665740   -38.3678578977    30.0847311594
   0.9    88.4578134137   -37.8517655484    30.5746039182     88.3474853665   -38.1253839372    30.4411097739     88.4551320193   -37.9283119751    30.4972660958     88.4220161256   -38.0729407303    30.3904335430     88.4403617944   -38.0838957564    30.3525807599
   0.9    88.4311706101   -37.4288062460    31.1867174598     88.3442845753   -37.8045097424    30.9020299501     88.4331162917   -37.4687062619    31.1314372379     88.4231242945   -38.0406606625    30.5361916290     88.4356147538   -37.7235619157    30.8562607131
   1.0    88.3917037491   -38.8539014841    29.7154364386     88.3223769771   -38.3286972252    30.3749874647     88.3950915500   -38.7443933354    29.8274432235     88.4219941834   -38.0810851503    30.4972828700     88.4116719649   -38.3451350485    30.2303035103
   1.0    88.4207218887   -38.3831517587    29.8157310292     88.3269120261   -38.3721531269    29.9896207669     88.4186491392   -38.4128344903    29.8163029226     88.4213086840   -38.0959064667    30.1507799873     88.4163554703   -38.3659093060    29.8696265249
   1.0    88.4275078948   -37.6300029513    30.6927574561     88.3332813950   -38.0294758350    30.3973654787     88.4268010986   -37.6937580705    30.6214153739     88.4214454116   -38.0726722870    30.2248777956     88.4224070974   -37.9611893080    30.3424544640
   1.1    88.4702758615   -38.5367974661    29.7675883250     88.3593590500   -38.2912290573    30.1782122925     88.4667672877   -38.4667390365    29.8385149086     88.4236917901   -38.0955447909    30.2953434948     88.4486421713   -38.2776158797    30.0656536272
   1.1    88.4216324101   -38.7376618776    29.7571934022     88.3464710898   -38.5246275865    30.0792094641     88.4252891041   -38.7162980691    29.7632212142     88.4232514733   -38.1279209097    30.3937650517     88.4336265912   -38.5307687365    29.9494128336
   1.2    88.4349738074   -38.4997627725    30.1878126103     88.3477853961   -38.5299723373    30.2624181492     88.4341898365   -38.5174095592    30.1533405004     88.4236643196   -38.1465906393    30.5636499010     88.4342852639   -38.5137516204    30.1571052919
   1.2    88.4199537631   -38.3831517587    29.7115913666     88.3410703186   -38.4762800615    29.7722044796     88.4211071101   -38.3939356551    29.7475274849     88.4235894648   -38.1590406009    29.9947107060     88.4264534549   -38.4422166336    29.6884948516
   1.2    88.4162066374   -38.5802898554    29.5808094352     88.3363171438   -38.5437509052    29.7299492218     88.4166040605   -38.5652432844    29.5942654109     88.4232860515   -38.1803516318    29.9956790387     88.4208482432   -38.5182748060    29.6384684045
   1.3    88.4394812791   -38.2999329421    29.9627760827     88.3467511861   -38.4426746056    29.9321076619     88.4376288970   -38.3217190485    29.9326175126     88.4242061158   -38.1869693959    30.0953960796     88.4311469058   -38.3984896327    29.8598776351
   1.3    88.4146916756   -38.2271077791    30.2391768468     88.3388124970   -38.3544425764    30.1972448444     88.4165495694   -38.2346685638    30.2144671069     88.4231835301   -38.1890983758    30.2536451729     88.4218372956   -38.3042864529    30.1326665127
   1.4    88.4285477851   -37.9856300760    30.4122924857     88.3428299523   -38.1916804622    30.3194099028     88.4275769352   -38.0059457923    30.3961252735     88.4229769792   -38.1798602435    30.2171543698     88.4253022805   -38.1294680187    30.2676014614
   1.4    88.4208646337   -38.7376618776    29.4488083337     88.3412614121   -38.4720341283    29.8594377501     88.4214179382   -38.6786187417    29.5253597889     88.4225336078   -38.2080284566    30.0261798077     88.4227017010   -38.4641065266    29.7525850919
   1.4    88.4354866470   -38.8578020358    29.1083036517     88.3482691046   -38.6755735039    29.4407757258     88.4343472559   -38.8431632526    29.1421545959     88.4222074515   -38.2406898320    29.8020380424     88.4292718053   -38.6807187981    29.3225377019
   1.5    88.4591927589   -38.2146041286    29.8899281375     88.3654372925   -38.4684265132    29.7419047720     88.4571883152   -38.2662431439    29.8286485987     88.4249461016   -38.2395178976    29.9025732432     88.4461491320   -38.4244216498    29.6755265123
   1.5    88.4098029914   -38.4239941174    29.9231673924     88.3472819490   -38.4626873460    29.9545071058     88.4136426789   -38.4115636017    29.9150838994     88.4234538197   -38.2490779204    30.0746121861     88.4258100043   -38.4243447272    29.8842419980
   1.6    88.4535383470   -38.0552138005    30.2757545558     88.3629057867   -38.2799686955    30.1630263508     88.4503096639   -38.0847553498    30.2458753902     88.4257733480   -38.2391118823    30.1164030027     88.4414471735   -38.2211946669    30.1130710546
   1.6    88.4274277399   -38.8961189404    29.3814331341     88.3564941884   -38.5939167108    29.8071685006     88.4292916601   -38.8313177526    29.4505328889     88.4254737421   -38.2718822487    30.0531635109     88.4335553689   -38.5923651001    29.6996147593
   1.7    88.4012826517   -38.8161601675    29.2761563524     88.3413095544   -38.7166244233    29.4854440169     88.4035527725   -38.8173688807    29.2903413444     88.4265153507   -38.2970368831    29.8138792943     88.4168772263   -38.7144828572    29.3816661893
   1.7    88.4432130425   -38.0989961944    29.9597966855     88.3556793083   -38.4323624140    29.7306301234     88.4400089443   -38.1585596580    29.9041710624     88.4277921509   -38.2869066022    29.7844759734     88.4315720156   -38.3758585865    29.6842466667
   1.7    88.4405761769   -37.9415663101    30.1222203837     88.3624996211   -38.2073255978    29.9504471465     88.4405311380   -37.9591196040    30.1045836670     88.4305182488   -38.2677572641    29.7895243243     88.4375142135   -38.1361077479    29.9200960652
