Time	PitchSensor	RollSensor	AzimuthSensor	PitchKalman	RollKalman	AzimuthKalman	PitchIIR	RollIIR	AzimuthIIR
   0.3	  88.4216156006	 -38.0716323853	  30.6875534058	  88.4216156006	 -38.0716323853	  30.6875534058	  88.4216156006	 -38.0716323853	  30.6875534058
   0.5	  88.4545059204	 -38.4172019958	  30.1376094818	  88.4457397461	 -38.3924484253	  30.1873302460	  88.4518432617	 -38.3886566162	  30.1826972961
   0.6	  88.3934097290	 -37.9614830017	  30.9613857269	  88.3715133667	 -38.1578674316	  30.7640647888	  88.3981475830	 -37.9949264526	  30.8993129730
   0.6	  88.4135055542	 -37.8744468689	  30.5945186615	  88.3454742432	 -38.0314102173	  30.5581169128	  88.4122619629	 -37.8842887878	  30.6189994812
   0.6	  88.4228744507	 -37.8301200867	  30.7821960449	  88.3369369507	 -37.9498329163	  30.7689418793	  88.4220123291	 -37.8345375061	  30.7689456940
   0.7	  88.4096069336	 -38.0721359253	  30.5311279297	  88.3255615234	 -38.0262603760	  30.7011756897	  88.4106216431	 -38.0530357361	  30.5502281189
   0.7	  88.4103775024	 -38.4239997864	  30.1996498108	  88.3203811646	 -38.2361412048	  30.5252208710	  88.4104003906	 -38.3939476013	  30.2280483246
   0.8	  88.4289245605	 -37.9856338501	  30.6043949127	  88.3281707764	 -38.1326904297	  30.5951347351	  88.4274291992	 -38.0190582275	  30.5735607147
   0.8	  88.3973846436	 -37.4166870117	  30.9519367218	  88.3157348633	 -37.8035583496	  30.6818504333	  88.3998184204	 -37.4646301270	  30.9221496582
   0.8	  88.4266662598	 -38.8961181641	  29.5230331421	  88.3260269165	 -38.3486938477	  30.2373371124	  88.4245223999	 -38.7783393860	  29.6381931305
   0.9	  88.4578094482	 -37.8517684937	  30.5746021271	  88.3474807739	 -38.1253814697	  30.4411163330	  88.4551315308	 -37.9283103943	  30.4972648621
   0.9	  88.4311752319	 -37.4288063049	  31.1867103577	  88.3442840576	 -37.8045082092	  30.9020214081	  88.4331130981	 -37.4687080383	  31.1314258575
   1.0	  88.3917007446	 -38.8539009094	  29.7154293060	  88.3223724365	 -38.3286933899	  30.3749904633	  88.3950881958	 -38.7443923950	  29.8274440765
   1.0	  88.4207229614	 -38.3831558228	  29.8157176971	  88.3269119263	 -38.3721504211	  29.9896163940	  88.4186477661	 -38.4128303528	  29.8163013458
   1.0	  88.4275054932	 -37.6300048828	  30.6927585602	  88.3332748413	 -38.0294761658	  30.3973731995	  88.4268035889	 -37.6937675476	  30.6213989258
   1.1	  88.4702758789	 -38.5367965698	  29.7675781250	  88.3593521118	 -38.2912254333	  30.1782264709	  88.4667663574	 -38.4667396545	  29.8385105133
   1.1	  88.4216308594	 -38.7376632690	  29.7571868896	  88.3464660645	 -38.5246276855	  30.0792121887	  88.4252853394	 -38.7163009644	  29.7632141113
   1.2	  88.4349670410	 -38.4997634888	  30.1878166199	  88.3477783203	 -38.5299720764	  30.2624187469	  88.4341888428	 -38.5174102783	  30.1533298492
   1.2	  88.4199523926	 -38.3831558228	  29.7115802765	  88.3410644531	 -38.4762802124	  29.7722091675	  88.4211044312	 -38.3939323425	  29.7475280762
   1.2	  88.4162063599	 -38.5802955627	  29.5807971954	  88.3363037109	 -38.5437545776	  29.7299537659	  88.4166030884	 -38.5652465820	  29.5942554474
   1.3	  88.4394760132	 -38.2999343872	  29.9627742767	  88.3467407227	 -38.4426803589	  29.9321079254	  88.4376296997	 -38.3217201233	  29.9326095581
